Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
10/1/2015,34719,21391023,55662,38756427,150933,804,92
10/2/2015,9444,21400467,12111,38768538,150976,65,4
10/3/2015,16564,21417031,25241,38793779,151027,489,64
10/4/2015,30214,21447245,59317,38853096,151167,2005,127
10/5/2015,44581,21491826,78665,38931761,151361,1193,176
10/6/2015,49720,21541546,89905,39021666,151461,1328,167
10/7/2015,50141,21591687,89586,39111252,151579,1211,172
10/8/2015,50179,21641866,88959,39200211,151968,1436,180
10/9/2015,37283,21679149,65046,39265257,152132,1302,97
10/10/2015,39348,21718497,87575,39352832,152260,3864,206
10/11/2015,38967,21757464,92607,39445439,152421,4004,171
10/12/2015,45584,21803048,102884,39548323,153049,2452,189
10/13/2015,49047,21852095,101421,39649744,153382,1235,151
10/14/2015,50000,21902095,99751,39749495,153619,1069,150
10/15/2015,48783,21950878,96975,39846470,153784,1318,155
10/16/2015,46486,21997364,93266,39939736,153866,1522,118
10/17/2015,31811,22029175,70864,40010600,154026,2239,120
10/18/2015,23978,22053153,49590,40060190,154092,1141,75
10/19/2015,36570,22089723,66941,40127131,154422,661,116
10/20/2015,45377,22135100,89988,40217119,154499,1093,147
10/21/2015,49121,22184221,100309,40317428,154626,1339,162
10/22/2015,49604,22233825,100026,40417454,154799,1342,177
10/23/2015,44681,22278506,90710,40508164,154935,1429,123
10/24/2015,31713,22310219,71472,40579636,155028,2254,101
10/25/2015,29289,22339508,62798,40642434,155118,1761,90
10/26/2015,42166,22381674,81381,40723815,155296,1039,154
10/27/2015,44553,22426227,83174,40806989,155445,866,86
10/28/2015,20736,22446963,34040,40841029,155572,128,25
10/29/2015,45359,22492322,90367,40931396,155697,1179,167
10/30/2015,44521,22536843,90284,41021680,155873,1558,154
10/31/2015,31759,22568602,70082,41091762,156005,2206,145
11/1/2015,30622,22599224,66939,41158701,156096,2090,111
11/2/2015,44534,22643758,89099,41247800,156208,1316,190
11/3/2015,49326,22693084,100760,41348560,156301,1567,166
11/4/2015,49487,22742571,99144,41447704,156400,1217,139
11/5/2015,43006,22785577,81276,41528980,156499,849,108
11/6/2015,47162,22832739,95321,41624301,156561,1571,122
11/7/2015,35586,22868325,79866,41704167,156647,2643,149
11/8/2015,32318,22900643,73329,41777496,156743,2361,99
11/9/2015,42262,22942905,78410,41855906,156820,899,102
11/10/2015,21585,22964490,34847,41890753,156963,120,42
11/11/2015,37705,23002195,68696,41959449,157038,712,95
11/12/2015,37319,23039514,64556,42024005,157143,430,61
11/13/2015,38970,23078484,70190,42094195,157226,892,78
11/14/2015,25300,23103784,50403,42144598,157296,1349,72
11/15/2015,25991,23129775,54736,42199334,157392,1497,78
11/16/2015,40916,23170691,78389,42277723,157491,833,105
11/17/2015,38939,23209630,68151,42345874,157570,488,66
11/18/2015,41486,23251116,73030,42418904,157628,498,82
11/19/2015,21890,23273006,36884,42455788,157666,167,37
11/20/2015,38205,23311211,71192,42526980,157702,890,73
11/21/2015,28038,23339249,56288,42583268,157731,1572,65
11/22/2015,23344,23362593,44743,42628011,157781,905,39
11/23/2015,30136,23392729,51812,42679823,157830,382,43
11/24/2015,32218,23424947,53981,42733804,157870,392,43
11/25/2015,30295,23455242,55504,42789308,157893,636,54
11/26/2015,13291,23468533,35956,42825264,157907,1436,61
11/27/2015,22829,23491362,51342,42876606,157929,1859,78
11/28/2015,15832,23507194,32196,42908802,157952,1061,45
11/29/2015,18453,23525647,36854,42945656,157997,888,45
11/30/2015,30221,23555868,52674,42998330,158047,346,62
12/1/2015,18399,23574267,29273,43027603,158067,61,22
12/2/2015,23782,23598049,39484,43067087,158096,138,29
12/3/2015,33917,23631966,59184,43126271,158130,348,42
12/4/2015,34737,23666703,61717,43187988,158157,549,60
12/5/2015,26355,23693058,56227,43244215,158183,1638,66
12/6/2015,24942,23718000,52485,43296700,158214,1321,53
12/7/2015,34139,23752139,60929,43357629,158251,554,84
12/8/2015,35614,23787753,59619,43417248,158284,411,69
12/9/2015,35305,23823058,59954,43477202,158317,355,33
12/10/2015,39099,23862157,69925,43547127,158357,638,67
12/11/2015,39059,23901216,72153,43619280,158388,822,63
12/12/2015,31956,23933172,68858,43688138,158427,2192,51
12/13/2015,32001,23965173,72863,43761001,158468,2470,68
12/14/2015,32518,23997691,57195,43818196,158529,606,56
12/15/2015,38660,24036351,67753,43885949,158572,606,54
12/16/2015,35643,24071994,61011,43946960,158617,436,50
12/17/2015,21960,24093954,35033,43981993,158643,120,26
12/18/2015,30699,24124653,51270,44033263,158671,384,38
12/19/2015,17776,24142429,30995,44064258,158692,527,31
12/20/2015,17029,24159458,30624,44094882,158732,604,36
12/21/2015,29800,24189258,54373,44149255,158772,494,29
12/22/2015,22941,24212199,39410,44188665,158793,274,26
12/23/2015,14817,24227016,28228,44216893,158825,172,19
12/24/2015,18445,24245461,35231,44252124,158844,660,64
12/25/2015,12331,24257792,37829,44289953,158883,2171,84
12/26/2015,13912,24271704,30690,44320643,158933,1021,96
12/27/2015,13176,24284880,30096,44350739,158993,1064,83
12/28/2015,18889,24303769,39889,44390628,159046,756,69
12/29/2015,13347,24317116,24451,44415079,159081,211,36
12/30/2015,22476,24339592,43736,44458815,159148,888,57
12/31/2015,20375,24359967,40032,44498847,159215,1072,54
